month,sales,cost
2023-01,117231.92,85737.46
2023-02,120081.12,87671.81
2023-03,122230.37,89367.32
2023-04,123168.66,90410.4
2023-05,122708.35,90560.92
2023-06,121035.25,89816.66
2023-07,118658.63,88414.12
2023-08,116274.61,86765.32
2023-09,114579.54,85347.57
2023-10,114083.31,84575.84
2023-11,114972.74,84691.74
2023-12,117061.55,85698.99
2024-01,119840.38,87362.66
2024-02,122613.42,89272.23
2024-03,124685.03,90951.82
2024-04,125546.45,91987.79
2024-05,125012.32,92139.69
2024-06,123270.73,91404.77
2024-07,120833.08,90018.78
2024-08,118397.47,88392.75
2024-09,116661.87,87002.92
2024-10,116137.5,86263.01
2024-11,117012.09,86413.35
2024-12,119099.8,87456.35
